Seq No,Item No,Description
1,51,2016 Em Resp Guide
2,28,3M ACH Headset Single Com
3,22,Baton (ASP) + Holder
4,50,Belt Keepers (4)
5,26,Blackhawk Hawkhook Knife
6,25,Cruiser Mate II Doc Holder
7,12,Double Magazine Pouch
8,47,Duty Belt (Nylon)
9,78,Ear Piece
10,73,GH Body Armor Int L 2213/2215 No Panels
11,11,Glove Pouch
12,36,IEC Type A AC Charger Cord
13,32,Life CPR Mask
14,48,Patrol Bag
15,84,Patrol Gloves L
16,49,Pepper Spray + OC Pouch
17,18,Prlss H-cuffs  w/Key + Pouch
18,2,Radio Pouch
19,9,Safariland M9 Holster R
20,52,Black Sounders Citation Holder II
21,38,Spec-OPS Helmet M
22,35,Strion Charger AC/DC USB
23,23,Strion LED Flshl
24,16,Leland Strobe Light
25,29,Red-Tip Tech CAT Tourniquet + Holder
26,183,5.56mm Indiv Cleaning Kit + Gerber Tool
27,257,9mm OTIS Cleaning Kit PK-L-18FI
28,127,9mm Pouch Black (2)
