Seq #,Item #,Description,Qty,Location
1,157,Duty Belt Plthr,3,Box 1
2,159,Key Ring,1,Box 1
3,169,Key Holder Plthr,1,Box 1
4,155,H-Cuff Pouch,17,Box 1
5,160,Baton Holder,2,Box 1
6,175,Baton Holder,1,Box 1
7,156,Duty Belt Nylon,2,Box 1
8,172,Flashlight Holder Plthr,1,Box 1
9,154,Double Mag Pouch,27,Box 1
10,164,Double Mag Pouch (Plthr),1,Box 1
11,244,Stearns Type III PFD,1,Connex 1
12,158,Radio Pouch,7,Box 1
13,153,OC Pouch,24,Box 1
14,173,Belt Keepers(4) Plthr,1,Box 1
15,245,Mustang Type V PFD MS2175 XXXL,1,Connex 1
16,161,Glove Pouch,2,Box 1
17,170,Safariland M9 Holster R Plthr,3,Box 1
18,165,Glove Pouch Plthr,4,Box 1
19,166,OC Pouch Small Plthr,2,Box 1
20,248,Mustang PFD MJ5244 XL,1,Connex 1
21,246,Mustang PFD MJ5244 XXL,1,Connex 1
22,279,Turn-in Gear (bx),4,Connex 4
23,167,Radio Pouch Plthr,2,Box 1
24,176,Baton Holder Plthr,1,Box 1
25,162,H-Cuff Pouch Plthr,3,Box 1
26,171,Baton (ASP),1,Box 1
27,168,OC Pouch Plthr,1,Box 1
