Seq #,ID Received,Item ID,Description,Vendor,Location,Date,Qty,Price,Total,Remark,Type
1,19,653444,Index Tabs,Office Depot,6700 Automall Pkwy Fremont CA 94538,11/02/2020,1,0,0,,gpc
2,20,K437,Locks,KDL Hardware Supply Inc,850 Poplar Pl South PO Box 24746 Seattle WA 98124-0746,11/02/2020,10,0,0,,gpc
3,21,7520012074194,Stamp Title COPY Blue ,National Industries F/T Blind,DBA JWOD.com 1310 Braddock Place Alexandria VA 22314,11/02/2020,4,0,0,,fedmall
4,3,70Q-2-TANORG,Pelican 70 Quart Cooler,Beam Distributing Inc,8510 Sandford Dr. Henrico VA 23228,10/27/2020,2,0,0,,gpc
5,4,46026481-00N,Dockline 5/8 x 35 Nylon White,JMSOnline.net,117 Arnold St Houston TX 77007-7201,10/26/2020,6,0,0,,gpc
6,5,5120002249440,Marlin Spike,GIGA Inc,2448 Industrial Park Drive Macon GA 31216,10/26/2020,7,0,0,,fedmall
7,6,615-01-464-0432,PG Applicator Disposable,F&M Micro Products Inc,Van Nuys CA 91406,10/26/2020,10,0,0,,gpc
8,7,SAF 3500BL,Chair Big & Tall BK,Zios Corp,125 Horizon Dr Suwanee GA 30024,10/26/2020,10,0,0,,fedmall
9,8,773703,5/16 in ZN Bit Snap,Complete Packaging,1200 Shames Drive - UN Westbury NY 11590,10/26/2020,40,0,0,,gpc
10,9,FG-2715PD-200,5.56 Star Chamber Pads in Twist Top,Otis Technology,6987 Laura St Lyons Falls NY 13368,10/26/2020,5,0,0,,gpc
11,10,N621U06,Towelette Cleaning 6 each,Noble,302 Weymouth St Rockland MA 02370,10/26/2020,2,0,0,,gpc
12,11,N621U06,Towelette Cleaning 6 each,Noble,302 Weymouth St Rockland MA 02370,10/26/2020,2,0,0,,gpc
13,12,36D051,Key Cabinet Digital Lock 64 Keys,Grainger,2710 Keystone Pacific Parkway Patterson CA 95363-0000,10/26/2020,1,0,0,,gpc
14,13,7930-01-555-2898,Biorenewable Glass Cleaner (RTU Handi Spray),Skilcraft,244 N Queen St Lancaster PA 17603-3585,10/26/2020,1,0,0,,gpc
15,14,N621U06,Towelette Cleaning 6 each,Noble,302 Weymouth St Rockland MA 02370,10/26/2020,2,0,0,,gpc
16,15,PA13624F-93,36 x 24in Enclosed Fabric Bulletin Board 1-Door,Ghent (a GMI company),UnbeatableSale.com Inc 195 Lehigh Avenue Ste 5 Lakewood NJ 08701,10/26/2020,1,0,0,,gpc
17,16,09029208,290 120V Dremel Electric Engraver,MSC,2300 East Newlands Drive Fernley NV 89408,10/26/2020,6,0,0,,gpc
18,17,NMFC 49390,PKGS NMFC# 49390 (Rags),New Pig Corp,1 Pork Ave Bldg 6 Tipton PA 16684,09/22/2020,1,0,0,,gpc
19,18,QE82R,82in Com 4k LED LCD Display,Sands Business Equipment & Supplies,1080 Bichara Blvd # 229 Lady Lake FL 32159-7715,09/10/2020,1,0,0,,fedmall
